ID	Quiz	HW AVG	Project	Midterm	Final
1	80.9	57.4	97.3	68.5	46.0
2	93.8	97.5	94.3	90.5	97.0
3	81.9	87.1	76.6	56.0	59.5
4	73.2	89.9	91.5	55.0	54.3
5	55.9	52.5	88.6	66.0	0.0
6	65.8	48.3	83.3	71.0	67.0
7	76.0	79.8	89.9	60.3	55.0
8	84.2	95.2	75.0	78.5	89.5
9	87.3	93.1	88.6	74.0	88.5
10	95.3	95.0	87.8	88.0	87.0
11	79.9	86.4	83.0	60.5	53.0
12	87.8	94.7	88.4	76.0	83.5
13	92.9	97.6	95.9	89.0	88.5
14	90.0	96.5	94.9	76.0	97.0
15	70.4	89.3	92.1	78.0	61.0
16	90.7	79.9	88.1	80.0	75.5
17	90.9	96.5	87.0	93.0	89.0
18	88.2	96.1	91.4	84.3	91.0
19	87.5	90.5	88.6	64.0	85.5
20	96.8	99.5	97.3	92.0	96.0
21	89.0	85.1	91.6	63.5	52.0
22	78.9	83.5	73.3	90.5	95.0
23	97.6	89.6	90.5	89.5	98.0
24	95.8	76.1	92.6	73.5	87.5
25	89.7	96.5	96.9	75.0	63.5
26	92.4	95.9	83.5	77.8	62.0
27	58.3	93.7	90.4	68.3	87.5
28	67.6	67.5	83.1	71.0	50.5
29	62.5	59.4	96.9	66.8	0.0
30	95.2	89.6	84.1	80.8	95.0
31	67.3	89.8	91.3	56.5	62.0
32	74.4	85.1	93.4	77.5	76.0
33	81.3	70.9	87.9	76.5	68.5
34	92.9	88.7	93.0	78.0	87.0
35	86.9	89.7	87.4	82.0	78.0
36	63.5	88.3	89.7	58.5	13.0
37	81.1	78.9	77.2	59.0	56.0
38	93.6	98.2	88.6	86.0	94.0
39	92.0	89.8	78.4	82.5	84.5
40	83.6	82.3	83.9	74.5	87.0
41	93.1	96.2	85.0	80.0	91.5
42	77.2	53.5	87.1	36.5	63.0
43	84.4	87.2	93.6	66.5	88.0
44	83.7	83.0	92.1	93.5	79.0
45	94.5	97.2	94.8	88.5	97.0
46	80.0	83.8	92.5	53.8	69.0
47	66.2	73.2	88.6	38.8	47.0
48	87.6	94.8	85.0	78.0	87.0
49	89.0	81.1	95.9	70.5	70.0
50	65.0	62.2	93.4	30.5	68.0
51	78.8	95.0	88.5	83.8	79.5
52	86.9	94.8	85.5	81.0	89.5
53	71.2	86.5	88.4	41.5	45.5
54	84.8	90.4	93.9	84.0	80.8
55	40.5	31.8	88.2	0.0	0.0
56	80.8	90.7	95.1	65.3	68.5
57	70.4	75.5	85.0	70.0	48.0
58	42.3	31.4	68.6	48.8	31.5
59	78.1	92.1	88.5	67.3	67.0
60	86.8	88.0	90.5	77.5	82.0
61	79.5	42.2	92.0	76.8	54.0
62	76.3	74.3	77.6	68.0	59.5
63	80.8	89.6	96.9	76.5	66.5
64	74.2	72.6	87.9	36.5	58.5
65	78.5	76.0	80.7	72.0	66.0
66	92.0	91.7	86.2	89.0	77.5
67	85.9	82.2	92.5	64.5	80.5
68	92.1	88.8	88.5	62.3	89.5
69	72.7	62.2	88.5	58.3	72.5
70	96.0	98.8	95.8	88.0	83.5
71	55.6	78.9	97.8	62.3	51.8
72	93.8	96.9	89.5	90.0	80.5
73	81.5	74.5	68.6	66.5	50.5
74	12.5	13.5	88.7	0.0	0.0
75	54.4	86.7	91.8	65.3	22.3
76	66.7	76.9	82.6	55.0	46.0
77	75.2	85.0	94.1	57.8	48.0
78	80.6	75.3	91.3	34.0	76.8
79	82.3	72.2	91.3	71.5	78.3
80	94.9	75.4	87.9	70.0	88.0
81	64.6	72.1	80.9	50.5	84.5
82	82.8	84.4	87.3	64.5	80.0
83	79.7	95.1	88.3	51.0	90.5
84	87.5	87.0	86.6	85.0	75.5
85	89.2	81.1	76.8	77.0	85.0
86	85.9	80.4	93.9	84.8	87.5
87	76.3	74.8	78.7	72.3	79.5
88	90.2	96.7	80.4	57.0	50.0
89	86.0	90.0	87.4	57.0	52.5
90	51.8	51.5	94.1	78.0	44.5
91	38.6	48.6	98.0	54.5	0.0
92	75.9	73.7	81.5	76.0	87.5
93	85.5	84.3	72.2	77.3	79.0
94	85.0	96.8	95.1	81.8	79.5
95	97.5	94.5	91.6	92.5	95.8
96	95.4	81.4	96.5	92.0	86.5
97	83.7	75.7	88.6	80.0	46.5
98	83.9	97.3	82.5	56.3	83.5
99	88.7	89.7	80.8	86.0	92.5
100	89.9	79.5	92.3	97.0	95.0
101	75.3	61.6	81.5	60.8	77.8
102	96.2	97.1	95.6	79.5	80.5
103	87.2	87.4	90.1	81.5	72.0
104	84.8	85.6	94.5	54.5	55.0
105	79.5	86.5	87.0	63.0	66.0
106	89.5	88.0	86.6	77.0	87.0
107	86.6	93.0	74.7	83.0	78.0
108	92.0	93.3	85.0	63.8	71.5
109	84.3	59.7	93.4	70.3	78.0
110	54.7	64.2	96.0	26.0	40.5
111	82.5	73.4	91.3	66.3	57.8
112	84.9	84.7	92.2	57.5	55.5
113	91.1	66.0	88.1	62.8	75.0
114	77.4	87.1	88.8	62.8	71.0
115	79.8	71.1	88.1	56.5	80.8
116	83.0	94.8	92.9	61.0	75.0
117	95.2	95.0	97.3	96.0	92.0
118	84.0	95.4	74.8	79.0	74.0
119	87.0	79.3	86.9	72.0	78.0
120	52.1	75.9	86.3	54.5	33.0
121	84.2	94.3	92.3	64.0	72.5
122	79.7	68.9	92.5	37.0	74.8
123	93.0	95.2	82.9	65.5	79.5
124	89.4	86.6	88.0	77.8	74.5
125	93.7	79.3	90.9	60.5	70.5
126	87.9	92.3	97.3	54.8	70.0
127	70.2	78.0	98.6	77.5	43.8
128	82.7	89.7	97.2	82.5	83.5
129	79.9	75.5	94.8	45.3	26.8
130	82.5	94.7	92.1	72.0	85.3
131	92.7	91.9	94.8	80.8	78.0
132	73.9	77.7	87.2	52.8	75.0
133	85.7	84.8	94.8	85.5	60.5
134	70.7	80.1	92.0	61.8	53.0
